DateID;LabID;OthLabID;Problems;CRA;Error;DC13;Material;Species;SiteID;SiteName;SiteContext;SiteType;Country;Longitude;Latitude;LocQual;Source;Comments
10856;X30752;NA;NA;4170;22;NA;seed;NA;303284;Köhne Shahar;S306, Phase 5;settlement;TR;44,249226;39.476946;A;Alizadeh et al. 2018;NA
10857;NA;NA;NoLabID;2190;90;NA;NA;NA;4791;Pessinus;oven;settlement;TR;31,584444;39.333889;A;Al-Bashaireh and Hodgins 2011;NA
10858;NA;NA;NoLabID;2250;80;NA;NA;NA;4791;Pessinus;bottom layer of pit;settlement;TR;31,584444;39.333889;A;Al-Bashaireh and Hodgins 2011;NA
10859;NA;NA;NoLabID;2783;21;NA;tooth;Homo sapiens;303323;Aparani Berd;NA;settlement;AM;44,346545;40.596077;A;"AraGATS database; Manning et al. 2018";NA
10860;NA;NA;NoLabID;2936;33;NA;charcoal;NA;303323;Aparani Berd;pit fill, Locus 41;settlement;AM;44,346545;40.596077;A;"AraGATS database; Manning et al. 2018";NA
10861;NA;NA;NoLabID;3100;22;NA;charcoal;NA;303323;Aparani Berd;fill, Locus 15;settlement;AM;44,346545;40.596077;A;"AraGATS database; Manning et al. 2018";NA
10862;NA;NA;NoLabID;4277;22;NA;tooth;Homo sapiens;303323;Aparani Berd;Locus 7;settlement;AM;44,346545;40.596077;A;"AraGATS database; Manning et al. 2018";NA
10863;NA;NA;NoLabID;4455;22;NA;seeds;Cerealia;303323;Aparani Berd;hearth, Locus 56;settlement;AM;44,346545;40.596077;A;"AraGATS database; Manning et al. 2018";NA
10864;NA;NA;NoLabID;2877;46;NA;charcoal;NA;303321;Aragatsi Berd;Sample taken from the level including the AB4 pavement floor clay matrix a;settlement;AM;44,285983;40.695405;A;"AraGATS database; Manning et al. 2018";NA
10865;NA;NA;NoLabID;2958;46;NA;charcoal;NA;303321;Aragatsi Berd;Sample taken from the level including the AB4 pavement floor clay matrix and surrounding fill,;settlement;AM;44.285983;40.695405;A;"AraGATS database; Manning et al. 2018";NA
10866;NA;NA;NoLabID;2985;21;NA;seeds;Hordeum;303319;Gegharot;fill, Locus 11;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10867;NA;NA;NoLabID;2996;21;NA;charcoal;NA;303319;Gegharot;fill, Locus 11;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10868;NA;NA;NoLabID;3033;25;NA;charcoal;NA;303319;Gegharot;fill, Locus 11;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10869;NA;NA;NoLabID;3094;39;NA;charcoal;NA;303319;Gegharot;wood beam;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10870;NA;NA;NoLabID;3195;22;NA;charcoal;NA;303319;Gegharot;fill, Locus 7;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10871;NA;NA;NoLabID;3214;35;NA;charcoal;NA;303319;Gegharot;Locus 29;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10872;NA;NA;NoLabID;4144;28;NA;tooth;Homo sapiens;303319;Gegharot;burial;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10873;NA;NA;NoLabID;4156;31;NA;tooth;Homo sapiens;303319;Gegharot;doore stone, Locus 22;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10874;NA;NA;NoLabID;4159;22;NA;charcoal;NA;303319;Gegharot;Locus 18;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10875;NA;NA;NoLabID;4169;28;NA;tooth;Homo sapiens;303319;Gegharot;Locus 18;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10876;NA;NA;NoLabID;4174;28;NA;tooth;Homo sapiens;303319;Gegharot;burial;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10877;NA;NA;NoLabID;4247;28;NA;tooth;Homo sapiens;303319;Gegharot;burial;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10878;NA;NA;NoLabID;4256;22;NA;charcoal;NA;303319;Gegharot;capstone supported by stone walls, Locus 22;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10879;NA;NA;NoLabID;4267;22;NA;charcoal;NA;303319;Gegharot;floor, Locus 32;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10880;NA;NA;NoLabID;4340;22;NA;charcoal;NA;303319;Gegharot;fill, Locus 7;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10881;NA;NA;NoLabID;4372;25;NA;charcoal;NA;303319;Gegharot;fill, Locus 32;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10882;NA;NA;NoLabID;4374;42;NA;charcoal;NA;303319;Gegharot;SUbsurface deposit, locus 41;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10883;NA;NA;NoLabID;4401;22;NA;charcoal;NA;303319;Gegharot;Locus 18;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10884;NA;NA;NoLabID;4459;23;NA;charcoal;NA;303319;Gegharot;hearth, Locus 41;settlement;AM;44,224835;40.705387;A;"AraGATS database; Manning et al. 2018";NA
10885;NA;NA;NoLabID;8030;120;NA;NA;NA;11371;Ain Jammam;NA;settlement;JO;35,4686;30.0203;B;Benz 2014;NA
10886;NA;NA;NoLabID;8030;120;NA;NA;NA;11371;Ain Jammam;NA;settlement;JO;35,4686;30.0203;B;Benz 2014;NA
10887;NA;NA;NoLabID;8520;190;NA;NA;NA;11371;Ain Jammam;NA;settlement;JO;35,4686;30.0203;B;Benz 2014;NA
10888;NA;NA;NoLabID;8520;190;NA;NA;NA;11371;Ain Jammam;NA;settlement;JO;35,4686;30.0203;B;Benz 2014;NA
10889;NA;NA;NoLabID;8750;80;NA;charcoal;NA;50;Ain Ghazal;"MPPNB-1;loc, 3081,128, Pit fill";settlement;JO;35.976;31.988;A;"Benz 2014; CalPal";NA
10890;NA;NA;NoLabID;8283;41;NA;NA;NA;341;Akarçay Tepe;"Square 27U; feature 118";settlement;TR;38,0257;36.9191;A;"Benz 2014; CalPal";NA
10891;NA;NA;NoLabID;9230;220;NA;charcoal;NA;1057;Jericho;Level VIII A, xvib;settlement;PS;35.4439;31.8711;A;"Benz 2014; CalPal";NA
10892;NA;NA;NoLabID;8364;101;NA;charcoal;NA;1724;Ras Shamra (Ugarit);"VC1;sondage SC, Point 132 (13,75 m)";settlement;SY;35,782;35.602;A;"Benz 2014; CalPal";NA
10893;NA;NA;NoLabID;7245;45;NA;charcoal;NA;18818;Rahmatabad;phase Trench G, context 7029, PN;settlement;IR;53,179;30.2033;A;Bernbeck et al. 2008;NA
10894;NA;NA;NoLabID;7955;45;NA;charcoal;NA;18818;Rahmatabad;phase Trench C, Context 3035, PN;settlement;IR;53,179;30.2033;A;Bernbeck et al. 2008;NA
10895;NA;NA;NoLabID;7970;45;NA;charcoal;NA;18818;Rahmatabad;phase Trench G, context 7032, PPN;settlement;IR;53,179;30.2033;A;Bernbeck et al. 2008;NA
10896;NA;NA;NoLabID;7245;45;NA;charcoal;NA;18818;Rahmatabad;"end of PN; Trench G, context 7029";settlement;IR;53,179;30.2033;A;"Bernbeck et al. 2008; Flohr et al. 2016";NA
10897;NA;NA;NoLabID;7955;45;NA;charcoal;NA;18818;Rahmatabad;"begin of PN; Trench C, Context 3035";settlement;IR;53,179;30.2033;A;"Bernbeck et al. 2008; Flohr et al. 2016";NA
10898;NA;NA;NoLabID;7970;45;NA;charcoal;NA;18818;Rahmatabad;"PPN; Trench G, context 7032";settlement;IR;53,179;30.2033;A;"Bernbeck et al. 2008; Flohr et al. 2016";NA
10899;NA;NA;NoLabID;5170;70;NA;charcoal;NA;3366;Kuruçay Höyük;phase 7;settlement;TR;30,166;37.6424;A;Brami 2014;NA
10900;NA;NA;NoLabID;7750;40;NA;charcoal;NA;2805;Barcin Höyük;"Phase VIE;L13 cm176-497; dug feature at base of L13 sounding";settlement;TR;29,5759;40.2722;A;"Brami 2014; Brami and Zanotti 2015; CalPal; Reingruber and Thissen 2016; Flohr et al. 2016";NA
10901;NA;NA;NoLabID;4430;37;-16;charcoal;NA;1510;Çukuriçi Höyük;Phase VII, 812/2;settlement;TR;27,3594;37.9292;A;"Brami 2014; CalPal";NA
10902;NA;NA;NoLabID;6509;39;-23;bone;Sus scrofa;1510;Çukuriçi Höyük;Phase VII, 94/11/1;settlement;TR;27,3594;37.9292;A;"Brami 2014; CalPal";NA
10903;NA;NA;NoLabID;7053;36;-20;bone;Capra;1510;Çukuriçi Höyük;Phase VIII, 317/11/1, _26,20 m;settlement;TR;27.3594;37.9292;A;"Brami 2014; CalPal";NA
10904;NA;NA;NoLabID;7409;39;-23;bone;NA;1510;Çukuriçi Höyük;"Core EPH 214; _22,56 m";settlement;TR;27.3594;37.9292;A;"Brami 2014; CalPal";NA
10905;NA;NA;NoLabID;7214;38;NA;charcoal;NA;3366;Kuruçay Höyük;phase 7;settlement;TR;30,166;37.6424;A;Brami and Zanotti 2015;NA
10906;NA;NA;NoLabID;5170;70;NA;charcoal;NA;3366;Kuruçay Höyük;phase 7;settlement;TR;30,166;37.6424;A;Brami and Zanotti 2015;NA
10907;NA;NA;NoLabID;5520;75;NA;NA;NA;16406;Wadi al-Ghira 16;NA;camp site;SA;50;20;E;CalPal;NA
10908;NA;NA;NoLabID;6980;190;NA;charcoal;NA;9775;Nahal Qanah;Locus 409, chalc,assoc with gold artifacts;cave;IL;34.895411;32.127033;B;CalPal;NA
10909;NA;NA;NoLabID;7054;78;NA;charcoal;NA;9775;Nahal Qanah;NA;cave;IL;34,895411;32.127033;B;CalPal;NA
10910;NA;NA;NoLabID;4920;240;NA;bone;NA;16376;Ein el-Jarba;NA;cemetery;IL;35,1231;32.6383;A;CalPal;NA
10911;NA;NA;NoLabID;5690;140;NA;charcoal;NA;16376;Ein el-Jarba;NA;cemetery;IL;35,1231;32.6383;A;CalPal;NA
10912;NA;NA;NoLabID;8030;120;NA;NA;NA;11371;Ain Jammam;NA;settlement;JO;35,4686;30.0203;B;CalPal;NA
10913;NA;NA;NoLabID;8520;190;NA;NA;NA;11371;Ain Jammam;NA;settlement;JO;35,4686;30.0203;B;CalPal;NA
10914;NA;NA;NoLabID;4210;60;NA;charcoal;Pistacia atlantica;9783;Arad;Stratum III, No,X1394/91 Locus 4610;settlement;IL;35.2132;31.256;A;CalPal;NA
10915;NA;NA;NoLabID;3800;80;NA;charcoal;NA;9773;Arslantepe;"phase VI;Room A-516, Squares E8(10)-(11),";settlement;TR;38.3607;38.381;A;CalPal;NA
10916;NA;NA;NoLabID;4000;80;NA;charcoal;NA;9773;Arslantepe;"phase VI;Room A-548, Square E8(14),";settlement;TR;38.3607;38.381;A;CalPal;NA
10917;NA;NA;NoLabID;4530;65;NA;charcoal;NA;9773;Arslantepe;phase VIA;settlement;TR;38,3607;38.381;A;CalPal;NA
10918;NA;NA;NoLabID;4630;65;NA;charcoal;NA;9773;Arslantepe;phase VIA;settlement;TR;38,3607;38.381;A;CalPal;NA
10919;NA;NA;NoLabID;4740;65;NA;charcoal;NA;9773;Arslantepe;phase VIA;settlement;TR;38,3607;38.381;A;CalPal;NA
10920;NA;NA;NoLabID;4920;65;NA;charcoal;NA;9773;Arslantepe;phase VII;settlement;TR;38,3607;38.381;A;CalPal;NA
10921;NA;NA;NoLabID;7898;80;NA;seeds;NA;58;Catalhöyük East;building 1, phase 1;settlement;TR;32,8257;37.6664;A;CalPal;NA
10922;NA;NA;NoLabID;7930;80;NA;seeds;NA;58;Catalhöyük East;building 1, phase 1;settlement;TR;32,8257;37.6664;A;CalPal;NA
10923;NA;NA;NoLabID;7950;80;NA;charcoal;NA;58;Catalhöyük East;building 1, phase 1;settlement;TR;32,8257;37.6664;A;CalPal;NA
10924;NA;NA;NoLabID;8060;80;NA;charcoal;NA;58;Catalhöyük East;building 1, phase 2;settlement;TR;32,8257;37.6664;A;CalPal;NA
10925;NA;NA;NoLabID;5910;80;NA;NA;NA;9896;Catalhöyük West;NA;settlement;TR;32,8229;37.6663;A;CalPal;NA
10926;NA;NA;NoLabID;6630;40;NA;NA;NA;9896;Catalhöyük West;NA;settlement;TR;32,8229;37.6663;A;CalPal;NA
10927;NA;NA;NoLabID;6960;40;NA;NA;NA;9896;Catalhöyük West;NA;settlement;TR;32,8229;37.6663;A;CalPal;NA
