SiteName	Country	Period	PhaseCode	LabCode	C14Age	C14SD	Material	MaterialSpecies	tpq	taq	Longitude	Latitude	bib	bib_url
Baume d'Oullins	France	EN	Layer 6A	AA-53296	6191	63	animal bone	Capra hircus	-5308	-4990	4.456943	44.342326	Garcia-Puchol & Salazar-Garcia 2017	https://doi.org/10.1007/978-3-319-52939-4
Abric de la Falguera	Spain	LM	Phase VIII, UE3151	AA-59519	7526	44	plant seed	Bractea sp.	-6460	-6251	-0.5881	38.6662	Garcia Puchol et al. 2009	https://doi.org/10.3998/jar.0521004.0065.205
Abric de la Falguera	Spain	EN	UE-3117	AA-60625	5833	65	animal bone	Capra pyrenaica	-4844	-4506	-0.5881	38.6662	Garcia Puchol et al. 2006	GarciaPuchol06
Baume d'Oullins	France	EN	Layer 6	AA-61623	6398	77	animal bone	Ovis aries	-5511	-5213	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Baume d'Oullins	France	EN	Layer 6	AA-61624	6291	66	animal bone	Ovis aries	-5468	-5053	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Baume d'Oullins	France	EN	Layer 6	AA-61625	5856	64	animal bone	Ovis aries	-4888	-4545	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Baume d'Oullins	France	EN	Layer 6	AA-61626	6381	76	animal bone	Ovis aries	-5481	-5209	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Baume d'Oullins	France	EN	Layer 6	AA-61627	6101	66	animal bone	Ovis aries	-5212	-4846	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Baume d'Oullins	France	EN	Layer 6	AA-61629	6386	67	animal bone	Capra hircus	-5478	-5217	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Baume d'Oullins	France	EN	Layer 6	AA-61630	6336	67	animal bone	Capra hircus	-5475	-5083	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Baume d'Oullins	France	EN	Layer 6	AA-61631	6407	67	animal bone	Capra hircus	-5481	-5218	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Baume d'Oullins	France	EN	Layer 6	AA-61632	6421	68	animal bone	Capra hircus	-5516	-5219	4.456943	44.342326	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Su Carroppu	Italy	EN	sond.B Layer 4 (>-1,50 m)	AA-80546	6156	93	animal bone	Sus scrofa	-5311	-4847	8.549996	39.196373	Luglie 2018	https://doi.org/10.1016/j.quaint.2017.12.032
Rio Tana	Italy	EN	US 3	AECV-2011C	6790	70	wood charcoal	n/d	-5837	-5562	13.673419	41.940862	Petrinelli-Pannocchia & Vassanelli 2020	Petrinelli20
Rio Tana	Italy	EN	US 5	AECV-2012C	6860	60	wood charcoal	n/d	-5884	-5633	13.673419	41.940862	Petrinelli-Pannocchia & Vassanelli 2020	Petrinelli20
Saint-Antoine	France	MN	Ensemble 42, Structure 4208	ARC-1429	5680	60	n/a	n/a	-4680	-4365	5.9978	44.4206	Coye et al. 1998	Coye98
Roynac Le Serre	France	EN	Ensemble 42, Phase I2b, St.A, soil S9	ARC-1443	5685	100	wood charcoal	n/d	-4776	-4344	4.914792	44.656206	Vital 1999	https://doi.org/10.3406/bspf.1999.10945
Hautecombe (lac du Bourget)	France	MN	Sequence dendrochronologique 9005HT	ARC-371	5055	60	wood charcoal	Quercus sp.	-3971	-3659	5.840794	45.749788	Perrin & Manen 2021	https://doi.org/10.1371/journal.pone.0246964
Chemin des Collines	Swiss	MN	z.W Layer 8-6	ARC-403	5360	120	human bone	Homo sapiens	-4446	-3959	7.353822	46.232509	Hafner 2012	Hafner12
